type,zcr_diff_mean,zcr_third_central_moment,zcr_exceed_th,zcr_std_of_fod,zcr_mean,ste_mler
0,-0.31313131313131315,0.0006846957112659359,0.050505050505050504,0.07527712092800287,0.06981845177836268,0.23232323232323232
0,-0.23232323232323232,0.0003897146257379979,0.18181818181818182,0.07415599052089844,0.07832219747587231,0.32323232323232326
0,-0.45454545454545453,0.0008606091273395907,0.020202020202020204,0.06762884948685599,0.05207981822681154,0.29292929292929293
0,-0.40404040404040403,0.0004388750250371845,0.1111111111111111,0.06855272896844114,0.07461024498886414,0.3434343434343434
0,-0.3939393939393939,0.0006588677613265544,0.06060606060606061,0.06747764465801098,0.06515039031742818,0.32323232323232326
0,-0.43434343434343436,0.00033049040849687436,0.13131313131313133,0.06226000465590284,0.07502643360104384,0.30303030303030304
0,-0.35353535353535354,0.0003883986086293818,0.06060606060606061,0.0628192959808495,0.07192189152100063,0.35353535353535354
0,-0.43434343434343436,0.0005975320258395502,0.1111111111111111,0.07473098682763207,0.07288924883579671,0.32323232323232326
0,-0.3939393939393939,0.00031651331731600657,0.030303030303030304,0.05439567389297493,0.06147218285302918,0.29292929292929293
0,-0.47474747474747475,0.00031812862240878005,0.030303030303030304,0.05521669038966346,0.057827720411239326,0.35353535353535354
0,-0.41414141414141414,0.00046112765947036523,0.06060606060606061,0.06560900265349805,0.06401430788958629,0.29292929292929293
0,-0.37373737373737376,0.0004860579683101998,0.04040404040404041,0.0623608748228689,0.06813120064790443,0.41414141414141414
0,-0.5757575757575758,0.0005977222788643172,0.04040404040404041,0.06313400641267602,0.06111223594519808,0.26262626262626265
0,-0.5353535353535354,0.00021836911806780837,0.06060606060606061,0.046826104043413135,0.04100020247013565,0.1919191919191919
0,-0.3333333333333333,0.0006303753090761289,0.0707070707070707,0.07355968765478962,0.07908708465501338,0.29292929292929293
0,-0.43434343434343436,0.0006379085635525199,0.09090909090909091,0.07060707299965636,0.07658995298193516,0.31313131313131315
0,-0.2727272727272727,0.0002548527725468651,0.06060606060606061,0.05726945147129383,0.0785134192706576,0.5151515151515151
0,-0.43434343434343436,0.0008238207213890138,0.04040404040404041,0.0756722783415304,0.06344064250523049,0.1414141414141414
0,-0.23232323232323232,0.000515990921457204,0.030303030303030304,0.07648785608784166,0.07730984679759736,0.2727272727272727
0,-0.31313131313131315,0.0009082309572057429,0.0707070707070707,0.08580707163029803,0.08002069694720029,0.32323232323232326
0,-0.35353535353535354,0.0009723294563949976,0.050505050505050504,0.08360583579733112,0.07539762884974466,0.2828282828282828
0,-0.5555555555555556,0.00032576098101184475,0.030303030303030304,0.05279148482411711,0.044026006164090796,0.2222222222222222
0,-0.21212121212121213,0.00023277202580090567,0.25252525252525254,0.07187518888227082,0.07861465433848507,0.25252525252525254
0,-0.41414141414141414,0.00067252064223805,0.04040404040404041,0.07170054405798774,0.06616274099570313,0.23232323232323232
0,-0.21212121212121213,0.0008404909023969516,0.04040404040404041,0.07440929417141923,0.06942475984792242,0.3939393939393939
0,-0.5959595959595959,0.001077801076614715,0.030303030303030304,0.07615253706184173,0.055026883534678626,0.1717171717171717
0,-0.47474747474747475,0.0007637734606430194,0.030303030303030304,0.074166095672665,0.06098850419563113,0.25252525252525254
0,-0.5151515151515151,0.0006629750368922302,0.020202020202020204,0.06581986243323991,0.049695169962430535,0.21212121212121213
0,-0.29292929292929293,0.000850446547590012,0.06060606060606061,0.080566816065356,0.07443027153494859,0.2828282828282828
0,-0.43434343434343436,0.0009420197066708107,0.0707070707070707,0.08144190452461054,0.06860363096443275,0.1111111111111111
0,-0.6363636363636364,0.0009042516496650239,0.030303030303030304,0.0653429491581604,0.04439720141279161,0.1717171717171717
0,-0.41414141414141414,0.0005498840654867852,0.020202020202020204,0.06605660554518358,0.05937999145126093,0.30303030303030304
0,-0.25252525252525254,0.0009578993352665729,0.04040404040404041,0.08606593758574438,0.08203414996288047,0.29292929292929293
